,edad,AniosDireccion,Gastocoche,Aniosempleo,Aniosresiden,ingres
4105,47,11,9.4,0,5,19
3543,52,21,26.700000000000003,4,3,53
3142,44,10,14.600000000000001,11,2,29
3771,58,7,63.1,29,1,127
2636,37,3,17.0,8,1,35
4296,37,10,18.1,0,1,36
2556,45,17,70.7,7,2,143
2712,38,4,33.6,14,4,69
3675,49,10,88.9,27,1,177
3064,50,21,31.0,17,2,62
3626,39,11,19.400000000000002,0,4,39
4825,61,8,11.3,3,1,22
3554,39,8,18.3,16,1,37
917,59,23,80.3,35,1,333
4502,26,0,21.200000000000003,0,5,44
3559,56,15,14.4,3,1,29
5092,48,15,38.0,18,1,78
3383,40,0,23.1,1,1,46
4678,41,8,19.0,0,4,38
905,19,0,9.4,2,1,19
4714,62,13,17.400000000000002,14,1,35
96,39,2,24.700000000000003,9,2,52
3927,27,8,10.700000000000001,9,3,22
4616,65,5,10.100000000000001,10,2,20
5277,34,11,11.9,1,7,24
4904,28,2,10.700000000000001,2,3,21
3027,21,0,15.0,0,4,30
5439,32,2,25.200000000000003,8,4,50
4015,37,2,38.1,3,3,75
2922,64,31,6.6000000000000005,10,1,13
2200,47,5,26.1,19,1,50
5018,35,1,15.600000000000001,8,2,32
1304,32,13,17.900000000000002,2,4,36
1171,38,11,63.2,16,1,126
4286,57,6,77.6,33,4,235
1521,54,10,59.0,31,5,118
248,43,8,25.400000000000002,14,2,52
4940,25,5,16.8,0,3,34
4991,19,0,7.2,2,4,15
2050,36,13,18.400000000000002,11,2,37
5755,51,22,22.6,16,2,45
1725,35,13,18.400000000000002,9,6,37
5124,42,10,22.6,0,4,46
2822,30,1,22.900000000000002,7,6,46
4339,32,1,35.4,9,2,71
2783,26,7,6.9,2,1,14
2338,27,0,20.6,2,3,42
5686,61,36,81.0,30,1,549
4116,34,2,11.9,0,1,24
2560,33,4,25.0,9,3,50
4677,33,2,23.1,9,4,47
724,56,26,85.80000000000001,26,1,174
5630,37,1,18.6,8,3,37
3254,25,1,11.5,4,6,22
3642,50,24,33.6,21,1,66
4320,48,3,85.0,17,1,169
3433,21,1,15.200000000000001,0,3,30
378,45,13,20.3,0,2,41
4946,56,25,36.4,18,1,71
3670,26,0,7.9,0,4,16
4043,51,14,20.6,7,1,42
5496,32,3,23.8,9,4,46
2236,35,7,20.200000000000003,7,3,41
3371,40,18,27.700000000000003,7,5,55
4012,37,8,19.8,5,1,39
2641,52,17,12.0,6,2,24
2606,44,15,88.2,23,1,174
268,34,0,25.5,0,3,50
2286,54,17,16.2,10,3,32
2414,38,12,24.5,5,1,49
3546,33,1,13.0,9,1,26
4373,66,21,63.2,44,1,333
